Timestamp,RPS,Namespace,Category,Service,Pod,Node,CPU_Total(m),CPU_App(m),CPU_Sidecar(m),Memory_WorkingSet(Mi),Memory_RSS(Mi),Memory_Delta(Mi),Net_RX(KB/s),Net_TX(KB/s),Istio_Enabled
2025-12-30 15:10:51,200,default,application,consul,consul-6876d8dccd-5nq7c,minikube,16,16,0,32,29,0,0.06,0.03,False
2025-12-30 15:10:51,200,default,application,recommendation,recommendation-68d8fd6486-zrjrp,minikube,63,63,0,9,7,0,22.03,19.2,False
2025-12-30 15:10:51,200,default,application,search,search-5b698f89cb-pdxhd,minikube,957,957,0,17,15,0,9615.09,546.36,False
2025-12-30 15:10:51,200,default,application,jaeger,jaeger-6cdfb69ff4-2tlqz,minikube,8,8,0,165,162,0,3.6,0.0,False
2025-12-30 15:12:06,400,default,application,reservation,reservation-bcb65fb69-44czs,minikube,15731,15731,0,75,67,-36,52748.6,26544.82,False
2025-12-30 15:12:06,400,kube-system,kubernetes-system,kube,kube-apiserver-minikube,minikube,102,102,0,274,272,-14,0.0,0.0,False
2025-12-30 15:12:06,400,default,application,user,user-7f565c9c7c-p46gb,minikube,4,4,0,8,6,1,1.91,1.15,False
2025-12-30 15:12:06,400,default,application,frontend,frontend-5dbb448dd9-btxd9,minikube,759,759,0,24,21,0,1263.62,1287.65,False
2025-12-30 15:12:06,400,default,application,memcached-profile,memcached-profile-76476968b4-b7f9p,minikube,19,19,0,5,3,0,14.52,168.33,False
2025-12-30 15:12:06,400,default,application,mongodb-rate,mongodb-rate-54cbf47d58-fptkm,minikube,5,5,0,154,58,0,0.07,0.1,False
2025-12-30 15:12:06,400,default,application,memcached-reserve,memcached-reserve-64fbdcb78d-nzknl,minikube,1469,1469,0,210,206,-4,26172.12,51264.38,False
2025-12-30 15:12:06,400,default,application,rate,rate-67cf45b856-kztxm,minikube,4099,4099,0,34,30,-14,44451.73,19340.86,False
2025-12-30 15:12:06,400,default,application,consul,consul-6876d8dccd-5nq7c,minikube,14,14,0,34,31,1,0.05,0.09,False
2025-12-30 15:12:06,400,kube-system,kubernetes-system,kube,kube-proxy-qqwmm,minikube,0,0,0,16,14,0,109.45,255.06,False
2025-12-30 15:12:06,400,kube-system,kubernetes-system,kube-controller,kube-controller-manager-minikube,minikube,20,20,0,60,58,0,0.0,0.0,False
2025-12-30 15:12:06,400,default,application,jaeger,jaeger-6cdfb69ff4-2tlqz,minikube,9,9,0,166,163,1,6.61,0.0,False
2025-12-30 15:12:06,400,default,application,recommendation,recommendation-68d8fd6486-zrjrp,minikube,100,100,0,9,7,0,43.78,37.82,False
2025-12-30 15:12:06,400,kube-system,kubernetes-system,kube,kube-scheduler-minikube,minikube,13,13,0,30,28,0,0.0,0.0,False
2025-12-30 15:12:06,400,default,application,profile,profile-57fd7778d8-fjq4q,minikube,254,254,0,11,9,0,263.54,200.75,False
2025-12-30 15:12:06,400,default,application,mongodb-profile,mongodb-profile-765644d5fc-89m5r,minikube,5,5,0,153,57,0,0.06,0.1,False
2025-12-30 15:12:06,400,default,application,memcached-rate,memcached-rate-74c578dc4-7pnmz,minikube,45,45,0,9,7,0,33.41,42625.17,False
2025-12-30 15:12:06,400,default,application,search,search-5b698f89cb-pdxhd,minikube,1441,1441,0,16,14,0,19230.55,1076.51,False
2025-12-30 15:12:06,400,kube-system,kubernetes-system,storage-provisioner,storage-provisioner,minikube,2,2,0,12,10,0,0.0,0.0,False
2025-12-30 15:12:06,400,default,application,mongodb-recommendation,mongodb-recommendation-d6df4b4bc-j9tdz,minikube,5,5,0,152,55,0,0.05,0.08,False
2025-12-30 15:12:06,400,kube-system,kubernetes-system,etcd-minikube,etcd-minikube,minikube,34,34,0,56,53,0,0.0,0.0,False
2025-12-30 15:12:06,400,kube-system,kubernetes-system,metrics-server,metrics-server-85b7d694d7-zgkzr,minikube,5,5,0,28,26,0,0.0,0.0,False
2025-12-30 15:12:06,400,default,application,mongodb-reservation,mongodb-reservation-c6678789f-vdkvv,minikube,8,8,0,160,63,0,2.23,0.74,False
2025-12-30 15:12:06,400,default,application,mongodb-user,mongodb-user-cbdc74bcf-k9wsb,minikube,5,5,0,154,57,0,0.04,0.07,False
2025-12-30 15:12:06,400,kube-system,kubernetes-system,coredns,coredns-66bc5c9577-cbts7,minikube,3,3,0,19,17,0,0.0,0.0,False
2025-12-30 15:12:06,400,default,application,mongodb-geo,mongodb-geo-58fc9c7df9-j9lcf,minikube,5,5,0,152,55,0,0.04,0.07,False
2025-12-30 15:12:06,400,default,application,geo,geo-6b57ccf698-w6r2d,minikube,189,189,0,10,8,1,60.87,54.13,False
2025-12-30 15:13:21,600,kube-system,kubernetes-system,metrics-server,metrics-server-85b7d694d7-zgkzr,minikube,5,5,0,28,26,0,0.0,0.0,False
2025-12-30 15:13:21,600,default,application,mongodb-geo,mongodb-geo-58fc9c7df9-j9lcf,minikube,5,5,0,152,55,0,0.04,0.08,False
2025-12-30 15:13:21,600,default,application,rate,rate-67cf45b856-kztxm,minikube,5067,5067,0,30,28,-37,63713.41,27727.17,False
2025-12-30 15:13:21,600,kube-system,kubernetes-system,storage-provisioner,storage-provisioner,minikube,2,2,0,12,10,0,0.0,0.0,False
2025-12-30 15:13:21,600,default,application,geo,geo-6b57ccf698-w6r2d,minikube,190,190,0,9,8,-1,69.67,59.47,False
2025-12-30 15:13:21,600,kube-system,kubernetes-system,kube-controller,kube-controller-manager-minikube,minikube,19,19,0,60,58,0,0.0,0.0,False
2025-12-30 15:13:21,600,kube-system,kubernetes-system,kube,kube-scheduler-minikube,minikube,12,12,0,30,28,0,0.0,0.0,False
2025-12-30 15:13:21,600,default,application,recommendation,recommendation-68d8fd6486-zrjrp,minikube,105,105,0,9,8,0,55.49,45.65,False
2025-12-30 15:13:21,600,default,application,mongodb-recommendation,mongodb-recommendation-d6df4b4bc-j9tdz,minikube,4,4,0,152,55,0,0.04,0.08,False
2025-12-30 15:13:21,600,kube-system,kubernetes-system,coredns,coredns-66bc5c9577-cbts7,minikube,3,3,0,19,17,0,0.0,0.0,False
2025-12-30 15:13:21,600,default,application,mongodb-profile,mongodb-profile-765644d5fc-89m5r,minikube,5,5,0,153,57,0,0.07,0.11,False
2025-12-30 15:13:21,600,kube-system,kubernetes-system,kube,kube-apiserver-minikube,minikube,83,83,0,275,272,0,0.0,0.0,False
2025-12-30 15:13:21,600,default,application,mongodb-rate,mongodb-rate-54cbf47d58-fptkm,minikube,5,5,0,154,58,0,0.06,0.1,False
2025-12-30 15:13:21,600,default,application,frontend,frontend-5dbb448dd9-btxd9,minikube,689,689,0,31,29,2,1784.21,1833.42,False
2025-12-30 15:13:21,600,default,application,memcached-reserve,memcached-reserve-64fbdcb78d-nzknl,minikube,1849,1849,0,217,206,-1,38628.58,75673.48,False
2025-12-30 15:13:21,600,kube-system,kubernetes-system,kube,kube-proxy-qqwmm,minikube,0,0,0,16,14,0,142.39,317.68,False
2025-12-30 15:13:21,600,default,application,memcached-rate,memcached-rate-74c578dc4-7pnmz,minikube,54,54,0,10,7,0,39.23,62415.04,False
2025-12-30 15:13:21,600,default,application,memcached-profile,memcached-profile-76476968b4-b7f9p,minikube,21,21,0,5,3,0,21.89,243.26,False
2025-12-30 15:13:21,600,default,application,profile,profile-57fd7778d8-fjq4q,minikube,248,248,0,11,9,0,353.18,262.7,False
2025-12-30 15:13:21,600,default,application,mongodb-reservation,mongodb-reservation-c6678789f-vdkvv,minikube,9,9,0,160,64,0,3.42,1.13,False
2025-12-30 15:13:21,600,default,application,reservation,reservation-bcb65fb69-44czs,minikube,17866,17866,0,199,188,-90,75953.11,38223.41,False
2025-12-30 15:13:21,600,kube-system,kubernetes-system,etcd-minikube,etcd-minikube,minikube,32,32,0,56,53,0,0.0,0.0,False
2025-12-30 15:13:21,600,default,application,jaeger,jaeger-6cdfb69ff4-2tlqz,minikube,17,17,0,169,166,3,11.04,0.0,False
2025-12-30 15:13:21,600,default,application,search,search-5b698f89cb-pdxhd,minikube,1486,1486,0,16,13,-1,27256.7,1457.49,False
2025-12-30 15:13:21,600,default,application,user,user-7f565c9c7c-p46gb,minikube,5,5,0,9,7,1,2.4,1.44,False
2025-12-30 15:13:21,600,default,application,mongodb-user,mongodb-user-cbdc74bcf-k9wsb,minikube,5,5,0,154,57,0,0.04,0.07,False
2025-12-30 15:13:21,600,default,application,consul,consul-6876d8dccd-5nq7c,minikube,11,11,0,34,32,0,0.04,0.03,False
