,,CPU_Total(m),CPU_Total(m),Memory_WorkingSet(Mi),Memory_WorkingSet(Mi),Net_RX(KB/s),Net_RX(KB/s),Net_TX(KB/s),Net_TX(KB/s),Disk_Read(KB/s),Disk_Read(KB/s),Disk_Write(KB/s),Disk_Write(KB/s),System_Mem_BW,System_Mem_BW,System_LLC_Metric,System_LLC_Metric
200,mongodb-profile,12.0,,201.0,,0.09,,0.13,,0.0,,2.72,,2.56,,0.53,
200,mongodb-rate,13.0,,214.0,,0.09,,0.11,,0.0,,3.12,,2.56,,0.53,
200,mongodb-recommendation,12.0,,201.0,,0.09,,0.12,,0.0,,2.32,,2.56,,0.53,
200,mongodb-reservation,99.0,,228.0,,1.11,,12.61,,0.0,,6.78,,2.56,,0.53,
200,mongodb-user,12.0,,206.0,,0.09,,0.12,,0.0,,3.69,,2.56,,0.53,
200,profile,225.0,,54.0,,248.21,,172.06,,0.0,,0.0,,2.56,,0.53,
200,rate,1930.0,,90.0,,18191.04,,7947.71,,0.0,,0.0,,2.56,,0.53,
200,recommendation,78.0,,49.0,,9.53,,7.18,,0.0,,0.0,,2.56,,0.53,
200,reservation,4684.0,,103.0,,8055.61,,11306.69,,0.0,,0.0,,2.56,,0.53,
200,search,705.0,,62.0,,7636.82,,381.19,,0.0,,0.0,,2.56,,0.53,
200,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,2.56,,0.53,
200,user,10.0,,48.0,,0.54,,0.27,,0.0,,0.0,,2.56,,0.53,
400,consul,23.0,,74.0,,0.1,,0.12,,0.0,,0.0,,5.89,,0.55,
400,coredns,3.0,,25.0,,0.0,,0.0,,0.0,,0.0,,5.89,,0.55,
400,etcd,41.0,,261.0,,0.0,,0.0,,0.0,,27.28,,5.89,,0.55,
400,frontend,552.0,,80.0,,1036.76,,999.96,,0.0,,0.0,,5.89,,0.55,
400,geo,173.0,,48.0,,20.72,,16.33,,0.0,,0.0,,5.89,,0.55,
400,istio-ingressgateway,5.0,,34.0,,0.25,,0.24,,0.0,,0.0,,5.89,,0.55,
400,istiod,3.0,,74.0,,13.06,,8.87,,0.0,,0.0,,5.89,,0.55,
400,jaeger,10.0,,132.0,,4.24,,0.04,,0.0,,0.0,,5.89,,0.55,
400,kube,42.0,61.73,256.67,392.63,16.76,29.03,67.57,117.03,0.0,0.0,0.0,0.0,5.89,0.0,0.55,0.0
400,kube-controller,22.0,,80.0,,0.0,,0.0,,0.0,,0.0,,5.89,,0.55,
400,memcached-profile,44.0,,43.0,,18.9,,325.22,,0.0,,0.0,,5.89,,0.55,
400,memcached-rate,120.0,,61.0,,90.95,,36625.23,,0.0,,0.0,,5.89,,0.55,
400,memcached-reserve,1117.0,,311.0,,22835.55,,22339.83,,0.0,,0.0,,5.89,,0.55,
400,metrics-server,4.0,,28.0,,0.0,,0.0,,0.0,,0.0,,5.89,,0.55,
400,mongodb-geo,10.0,,198.0,,0.08,,0.11,,0.0,,1.74,,5.89,,0.55,
400,mongodb-profile,11.0,,207.0,,3.91,,5.85,,0.0,,1.93,,5.89,,0.55,
400,mongodb-rate,11.0,,214.0,,0.08,,0.11,,0.0,,2.38,,5.89,,0.55,
400,mongodb-recommendation,11.0,,198.0,,0.08,,0.11,,0.0,,2.0,,5.89,,0.55,
400,mongodb-reservation,111.0,,223.0,,1.73,,14.84,,0.0,,6.0,,5.89,,0.55,
400,mongodb-user,11.0,,203.0,,0.08,,0.12,,0.0,,1.24,,5.89,,0.55,
400,profile,312.0,,56.0,,364.2,,257.17,,0.0,,0.0,,5.89,,0.55,
400,rate,3217.0,,80.0,,37308.77,,16235.97,,0.0,,0.0,,5.89,,0.55,
400,recommendation,117.0,,47.0,,16.55,,12.32,,0.0,,0.0,,5.89,,0.55,
400,reservation,7428.0,,99.0,,23098.98,,22853.94,,0.0,,0.0,,5.89,,0.55,
400,search,967.0,,60.0,,15696.82,,769.02,,0.0,,0.0,,5.89,,0.55,
400,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,5.89,,0.55,
400,user,9.0,,46.0,,0.81,,0.42,,0.0,,0.0,,5.89,,0.55,
600,consul,23.0,,73.0,,0.09,,0.09,,0.0,,0.0,,7.09,,0.53,
600,coredns,3.0,,25.0,,0.0,,0.0,,0.0,,0.0,,7.09,,0.53,
600,etcd,39.0,,259.0,,0.0,,0.0,,0.0,,28.02,,7.09,,0.53,
600,frontend,464.0,,82.0,,1014.78,,1014.68,,0.0,,0.0,,7.09,,0.53,
600,geo,149.0,,53.0,,19.62,,15.15,,0.0,,0.0,,7.09,,0.53,
600,istio-ingressgateway,5.0,,34.0,,0.26,,0.24,,0.0,,0.0,,7.09,,0.53,
600,istiod,2.0,,76.0,,1.55,,1.09,,0.0,,0.0,,7.09,,0.53,
600,jaeger,10.0,,128.0,,4.77,,0.04,,0.0,,0.0,,7.09,,0.53,
600,kube,38.0,54.84,263.67,404.75,22.62,39.18,55.23,95.66,0.0,0.0,0.0,0.0,7.09,0.0,0.53,0.0
600,kube-controller,21.0,,80.0,,0.0,,0.0,,0.0,,0.0,,7.09,,0.53,
600,memcached-profile,37.0,,44.0,,15.73,,188.96,,0.0,,0.0,,7.09,,0.53,
600,memcached-rate,116.0,,63.0,,86.97,,39974.09,,0.0,,0.0,,7.09,,0.53,
600,memcached-reserve,1263.0,,314.0,,24950.31,,35719.3,,0.0,,0.0,,7.09,,0.53,
600,metrics-server,4.0,,28.0,,0.0,,0.0,,0.0,,0.0,,7.09,,0.53,
600,mongodb-geo,11.0,,198.0,,0.09,,0.12,,0.0,,3.78,,7.09,,0.53,
600,mongodb-profile,11.0,,207.0,,0.09,,0.12,,0.0,,2.7,,7.09,,0.53,
600,mongodb-rate,11.0,,214.0,,0.09,,0.12,,0.0,,3.5,,7.09,,0.53,
600,mongodb-recommendation,11.0,,198.0,,0.08,,0.12,,0.0,,1.9,,7.09,,0.53,
600,mongodb-reservation,128.0,,223.0,,2.69,,19.2,,0.0,,10.97,,7.09,,0.53,
600,mongodb-user,11.0,,203.0,,0.09,,0.12,,0.0,,3.77,,7.09,,0.53,
600,profile,255.0,,58.0,,227.24,,161.27,,0.0,,0.0,,7.09,,0.53,
600,rate,3106.0,,97.0,,39405.37,,17208.97,,0.0,,0.0,,7.09,,0.53,
600,recommendation,100.0,,47.0,,15.67,,11.35,,0.0,,0.0,,7.09,,0.53,
600,reservation,8265.0,,160.0,,36087.74,,24612.59,,0.0,,0.0,,7.09,,0.53,
600,search,878.0,,61.0,,16877.09,,818.67,,0.0,,0.0,,7.09,,0.53,
600,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,7.09,,0.53,
600,user,9.0,,46.0,,0.99,,0.52,,0.0,,0.0,,7.09,,0.53,
700,consul,23.0,,73.0,,0.13,,0.16,,0.0,,0.0,,7.04,,0.54,
700,coredns,3.0,,25.0,,0.0,,0.0,,0.0,,0.0,,7.04,,0.54,
700,etcd,40.0,,259.0,,0.0,,0.0,,0.0,,22.7,,7.04,,0.54,
700,frontend,459.0,,89.0,,986.84,,994.56,,0.0,,0.0,,7.04,,0.54,
700,geo,149.0,,51.0,,19.32,,14.99,,0.0,,0.0,,7.04,,0.54,
700,istio-ingressgateway,5.0,,40.0,,0.25,,0.24,,0.0,,0.0,,7.04,,0.54,
700,istiod,4.0,,66.0,,13.25,,9.03,,0.0,,0.0,,7.04,,0.54,
700,jaeger,13.0,,120.0,,4.03,,0.04,,0.0,,0.0,,7.04,,0.54,
700,kube,41.0,60.83,264.33,405.91,25.71,44.54,51.34,88.92,0.0,0.0,0.0,0.0,7.04,0.0,0.54,0.0
700,kube-controller,24.0,,80.0,,0.0,,0.0,,0.0,,0.0,,7.04,,0.54,
700,memcached-profile,34.0,,44.0,,14.13,,147.85,,0.0,,0.0,,7.04,,0.54,
700,memcached-rate,117.0,,70.0,,83.44,,38999.91,,0.0,,0.0,,7.04,,0.54,
700,memcached-reserve,1266.0,,312.0,,23377.68,,38068.48,,0.0,,0.0,,7.04,,0.54,
700,metrics-server,5.0,,28.0,,0.0,,0.0,,0.0,,0.0,,7.04,,0.54,
700,mongodb-geo,11.0,,198.0,,0.08,,0.11,,0.0,,1.72,,7.04,,0.54,
700,mongodb-profile,10.0,,204.0,,0.08,,0.11,,0.0,,1.89,,7.04,,0.54,
700,mongodb-rate,10.0,,214.0,,0.08,,0.12,,0.0,,2.65,,7.04,,0.54,
700,mongodb-recommendation,10.0,,198.0,,0.08,,0.11,,0.0,,1.25,,7.04,,0.54,
700,mongodb-reservation,57.0,,224.0,,1.44,,7.2,,0.0,,6.4,,7.04,,0.54,
700,mongodb-user,10.0,,203.0,,0.09,,0.12,,0.0,,1.66,,7.04,,0.54,
700,profile,247.0,,54.0,,171.93,,123.18,,0.0,,0.0,,7.04,,0.54,
700,rate,3067.0,,144.0,,39014.87,,16938.63,,0.0,,0.0,,7.04,,0.54,
700,recommendation,101.0,,54.0,,15.85,,11.56,,0.0,,0.0,,7.04,,0.54,
700,reservation,8346.0,,157.0,,39970.42,,24066.6,,0.0,,0.0,,7.04,,0.54,
700,search,869.0,,76.0,,16903.73,,820.22,,0.0,,0.0,,7.04,,0.54,
700,storage,1.0,,13.0,,0.0,,0.0,,0.0,,0.0,,7.04,,0.54,
700,user,8.0,,46.0,,0.79,,0.41,,0.0,,0.0,,7.04,,0.54,
800,consul,22.0,,75.0,,0.1,,0.09,,0.0,,0.0,,7.04,,0.54,
800,coredns,3.0,,25.0,,0.0,,0.0,,0.0,,0.0,,7.04,,0.54,
800,etcd,39.0,,262.0,,0.0,,0.0,,0.0,,23.28,,7.04,,0.54,
800,frontend,464.0,,92.0,,946.39,,961.64,,0.0,,0.0,,7.04,,0.54,
800,geo,150.0,,51.0,,19.28,,14.86,,0.0,,0.0,,7.04,,0.54,
800,istio-ingressgateway,5.0,,37.0,,0.27,,0.24,,0.0,,0.0,,7.04,,0.54,
800,istiod,4.0,,67.0,,13.03,,8.82,,0.0,,0.0,,7.04,,0.54,
800,jaeger,11.0,,121.0,,4.41,,0.04,,0.0,,0.0,,7.04,,0.54,
800,kube,37.0,54.84,265.33,406.77,29.24,50.64,50.82,88.02,0.0,0.0,0.0,0.0,7.04,0.0,0.54,0.0
800,kube-controller,23.0,,80.0,,0.0,,0.0,,0.0,,0.0,,7.04,,0.54,
800,memcached-profile,34.0,,50.0,,13.27,,122.02,,0.0,,0.0,,7.04,,0.54,
800,memcached-rate,113.0,,70.0,,72.58,,37030.07,,0.0,,0.0,,7.04,,0.54,
800,memcached-reserve,1292.0,,315.0,,22868.91,,40487.41,,0.0,,0.0,,7.04,,0.54,
800,metrics-server,4.0,,28.0,,0.0,,0.0,,0.0,,0.0,,7.04,,0.54,
800,mongodb-geo,12.0,,203.0,,3.91,,5.82,,0.0,,3.43,,7.04,,0.54,
800,mongodb-profile,10.0,,202.0,,0.09,,0.13,,0.0,,2.56,,7.04,,0.54,
800,mongodb-rate,11.0,,213.0,,0.1,,0.13,,0.0,,3.47,,7.04,,0.54,
800,mongodb-recommendation,11.0,,198.0,,0.09,,0.12,,0.0,,2.29,,7.04,,0.54,
800,mongodb-reservation,32.0,,224.0,,1.06,,3.81,,0.0,,8.84,,7.04,,0.54,
800,mongodb-user,11.0,,203.0,,0.09,,0.12,,0.0,,3.87,,7.04,,0.54,
800,profile,245.0,,54.0,,152.58,,110.04,,0.0,,0.0,,7.04,,0.54,
800,rate,2989.0,,122.0,,37060.31,,16095.15,,0.0,,0.0,,7.04,,0.54,
800,recommendation,106.0,,51.0,,16.71,,12.12,,0.0,,0.0,,7.04,,0.54,
800,reservation,8480.0,,130.0,,41603.48,,23087.23,,0.0,,0.0,,7.04,,0.54,
800,search,865.0,,93.0,,16519.71,,803.92,,0.0,,0.0,,7.04,,0.54,
800,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,7.04,,0.54,
800,user,9.0,,46.0,,0.81,,0.41,,0.0,,0.0,,7.04,,0.54,
1000,consul,23.0,,75.0,,0.08,,0.07,,0.0,,0.0,,7.08,,0.54,
1000,coredns,3.0,,25.0,,0.0,,0.0,,0.0,,0.0,,7.08,,0.54,
1000,etcd,37.0,,259.0,,0.0,,0.0,,0.0,,26.9,,7.08,,0.54,
1000,frontend,450.0,,97.0,,939.21,,943.44,,0.0,,0.0,,7.08,,0.54,
1000,geo,147.0,,51.0,,18.91,,14.6,,0.0,,0.0,,7.08,,0.54,
1000,istio-ingressgateway,5.0,,35.0,,0.27,,0.25,,0.0,,0.0,,7.08,,0.54,
1000,istiod,3.0,,66.0,,1.59,,1.14,,0.0,,0.0,,7.08,,0.54,
1000,jaeger,9.0,,121.0,,3.79,,0.04,,0.0,,0.0,,7.08,,0.54,
1000,kube,40.33,58.96,268.67,412.54,34.72,60.13,49.06,84.97,0.0,0.0,0.0,0.0,7.08,0.0,0.54,0.0
1000,kube-controller,21.0,,80.0,,0.0,,0.0,,0.0,,0.0,,7.08,,0.54,
1000,memcached-profile,30.0,,46.0,,11.15,,101.48,,0.0,,0.0,,7.08,,0.54,
1000,memcached-rate,112.0,,66.0,,79.23,,37413.18,,0.0,,0.0,,7.08,,0.54,
1000,memcached-reserve,1286.0,,313.0,,22291.27,,41455.5,,0.0,,0.0,,7.08,,0.54,
1000,metrics-server,4.0,,28.0,,0.0,,0.0,,0.0,,0.0,,7.08,,0.54,
1000,mongodb-geo,11.0,,203.0,,0.09,,0.12,,0.0,,1.69,,7.08,,0.54,
1000,mongodb-profile,10.0,,202.0,,0.08,,0.11,,0.0,,1.98,,7.08,,0.54,
1000,mongodb-rate,10.0,,213.0,,0.09,,0.12,,0.0,,2.2,,7.08,,0.54,
1000,mongodb-recommendation,10.0,,198.0,,0.09,,0.12,,0.0,,1.63,,7.08,,0.54,
1000,mongodb-reservation,34.0,,224.0,,1.43,,3.96,,0.0,,3.55,,7.08,,0.54,
1000,mongodb-user,11.0,,203.0,,0.09,,0.12,,0.0,,3.03,,7.08,,0.54,
1000,profile,233.0,,53.0,,132.13,,95.35,,0.0,,0.0,,7.08,,0.54,
1000,rate,2976.0,,112.0,,36954.86,,16081.58,,0.0,,0.0,,7.08,,0.54,
1000,recommendation,100.0,,47.0,,15.19,,11.01,,0.0,,0.0,,7.08,,0.54,
1000,reservation,8516.0,,142.0,,43985.81,,23303.79,,0.0,,0.0,,7.08,,0.54,
1000,search,845.0,,64.0,,16042.24,,780.88,,0.0,,0.0,,7.08,,0.54,
1000,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,7.08,,0.54,
1000,user,9.0,,46.0,,0.82,,0.43,,0.0,,0.0,,7.08,,0.54,
