,,CPU_Total(m),CPU_Total(m),Memory_WorkingSet(Mi),Memory_WorkingSet(Mi),Net_RX(KB/s),Net_RX(KB/s),Net_TX(KB/s),Net_TX(KB/s),Disk_Read(KB/s),Disk_Read(KB/s),Disk_Write(KB/s),Disk_Write(KB/s),System_Mem_BW,System_Mem_BW,System_LLC_Metric,System_LLC_Metric
100,mongodb-recommendation,6.0,,157.0,,0.05,,0.08,,0.0,,2.7,,1.21,,0.53,
100,mongodb-reservation,59.0,,176.0,,0.61,,7.75,,0.0,,2.0,,1.21,,0.53,
100,mongodb-user,6.0,,162.0,,0.05,,0.08,,0.0,,3.02,,1.21,,0.53,
100,profile,76.0,,9.0,,168.99,,117.31,,0.0,,0.0,,1.21,,0.53,
100,rate,996.0,,33.0,,9982.51,,4353.77,,0.0,,0.0,,1.21,,0.53,
100,recommendation,19.0,,8.0,,5.96,,4.92,,0.0,,0.0,,1.21,,0.53,
100,reservation,2079.0,,30.0,,2410.81,,6092.95,,0.0,,0.0,,1.21,,0.53,
100,search,328.0,,15.0,,4243.31,,218.02,,0.0,,0.0,,1.21,,0.53,
100,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,1.21,,0.53,
100,user,1.0,,10.0,,0.3,,0.15,,0.0,,0.0,,1.21,,0.53,
200,consul,20.0,,32.0,,0.05,,0.15,,0.0,,0.0,,2.21,,0.49,
200,coredns,3.0,,26.0,,0.0,,0.0,,0.0,,0.0,,2.21,,0.49,
200,etcd,37.0,,272.0,,0.0,,0.0,,0.0,,19.66,,2.21,,0.49,
200,frontend,353.0,,20.0,,640.6,,582.81,,0.0,,0.0,,2.21,,0.49,
200,geo,62.0,,8.0,,17.46,,15.86,,0.0,,0.0,,2.21,,0.49,
200,jaeger,6.0,,22.0,,2.29,,0.0,,0.0,,0.0,,2.21,,0.49,
200,kube,36.33,51.16,242.33,369.55,9.05,15.68,37.76,65.4,0.0,0.0,0.0,0.0,2.21,0.0,0.49,0.0
200,kube-controller,25.0,,76.0,,0.0,,0.0,,0.0,,0.0,,2.21,,0.49,
200,memcached-profile,13.0,,4.0,,8.59,,235.06,,0.0,,0.0,,2.21,,0.49,
200,memcached-rate,19.0,,13.0,,11.24,,19576.03,,0.0,,0.0,,2.21,,0.49,
200,memcached-reserve,546.0,,279.0,,11549.33,,7430.4,,0.0,,0.0,,2.21,,0.49,
200,metrics-server,4.0,,26.0,,0.0,,0.0,,0.0,,0.0,,2.21,,0.49,
200,mongodb-geo,6.0,,159.0,,0.03,,0.08,,0.0,,1.81,,2.21,,0.49,
200,mongodb-profile,6.0,,160.0,,0.07,,0.11,,0.0,,1.55,,2.21,,0.49,
200,mongodb-rate,6.0,,165.0,,0.23,,0.28,,0.0,,2.2,,2.21,,0.49,
200,mongodb-recommendation,6.0,,157.0,,0.03,,0.08,,0.0,,1.49,,2.21,,0.49,
200,mongodb-reservation,95.0,,177.0,,1.02,,14.15,,0.0,,4.1,,2.21,,0.49,
200,mongodb-user,6.0,,162.0,,0.03,,0.08,,0.0,,1.92,,2.21,,0.49,
200,profile,124.0,,9.0,,265.63,,186.73,,0.0,,0.0,,2.21,,0.49,
200,rate,1942.0,,40.0,,19332.38,,8403.53,,0.0,,0.0,,2.21,,0.49,
200,recommendation,32.0,,9.0,,11.59,,10.13,,0.0,,0.0,,2.21,,0.49,
200,reservation,4772.0,,41.0,,7944.87,,11761.76,,0.0,,0.0,,2.21,,0.49,
200,search,666.0,,14.0,,8432.05,,434.86,,0.0,,0.0,,2.21,,0.49,
200,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,2.21,,0.49,
200,user,1.0,,7.0,,0.51,,0.3,,0.0,,0.0,,2.21,,0.49,
300,consul,21.0,,29.0,,0.04,,0.03,,0.0,,0.0,,3.96,,0.5,
300,coredns,3.0,,26.0,,0.0,,0.0,,0.0,,0.0,,3.96,,0.5,
300,etcd,38.0,,274.0,,0.0,,0.0,,0.0,,16.71,,3.96,,0.5,
300,frontend,373.0,,23.0,,881.16,,831.65,,0.0,,0.0,,3.96,,0.5,
300,geo,77.0,,8.0,,23.74,,21.16,,0.0,,0.0,,3.96,,0.5,
300,jaeger,5.0,,27.0,,2.5,,0.0,,0.0,,0.0,,3.96,,0.5,
300,kube,38.0,54.03,247.67,375.3,12.83,22.23,43.36,75.11,0.0,0.0,0.0,0.0,3.96,0.0,0.5,0.0
300,kube-controller,26.0,,76.0,,0.0,,0.0,,0.0,,0.0,,3.96,,0.5,
300,memcached-profile,14.0,,4.0,,11.77,,240.75,,0.0,,0.0,,3.96,,0.5,
300,memcached-rate,26.0,,13.0,,16.55,,29731.66,,0.0,,0.0,,3.96,,0.5,
300,memcached-reserve,839.0,,304.0,,17984.23,,18267.04,,0.0,,0.0,,3.96,,0.5,
300,metrics-server,4.0,,26.0,,0.0,,0.0,,0.0,,0.0,,3.96,,0.5,
300,mongodb-geo,6.0,,159.0,,0.04,,0.08,,0.0,,2.51,,3.96,,0.5,
300,mongodb-profile,6.0,,160.0,,0.06,,0.1,,0.0,,2.62,,3.96,,0.5,
300,mongodb-rate,6.0,,165.0,,0.19,,0.24,,0.0,,1.79,,3.96,,0.5,
300,mongodb-recommendation,6.0,,157.0,,0.04,,0.08,,0.0,,2.4,,3.96,,0.5,
300,mongodb-reservation,126.0,,178.0,,1.66,,17.26,,0.0,,6.54,,3.96,,0.5,
300,mongodb-user,6.0,,162.0,,0.04,,0.08,,0.0,,2.48,,3.96,,0.5,
300,profile,138.0,,9.0,,282.69,,202.1,,0.0,,0.0,,3.96,,0.5,
300,rate,2638.0,,37.0,,30390.95,,13254.12,,0.0,,0.0,,3.96,,0.5,
300,recommendation,41.0,,8.0,,17.2,,14.86,,0.0,,0.0,,3.96,,0.5,
300,reservation,7878.0,,55.0,,19146.34,,18267.68,,0.0,,0.0,,3.96,,0.5,
300,search,810.0,,14.0,,13248.48,,675.94,,0.0,,0.0,,3.96,,0.5,
300,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,3.96,,0.5,
300,user,2.0,,7.0,,0.74,,0.42,,0.0,,0.0,,3.96,,0.5,
400,consul,20.0,,31.0,,0.06,,0.16,,0.0,,0.0,,5.94,,0.5,
400,coredns,3.0,,26.0,,0.0,,0.0,,0.0,,0.0,,5.94,,0.5,
400,etcd,35.0,,273.0,,0.0,,0.0,,0.0,,16.79,,5.94,,0.5,
400,frontend,310.0,,29.0,,1067.19,,1038.84,,0.0,,0.0,,5.94,,0.5,
400,geo,72.0,,8.0,,25.56,,22.07,,0.0,,0.0,,5.94,,0.5,
400,jaeger,5.0,,33.0,,4.07,,0.0,,0.0,,0.0,,5.94,,0.5,
400,kube,35.33,49.44,245.33,374.75,17.08,29.58,48.96,84.81,0.0,0.0,0.0,0.0,5.94,0.0,0.5,0.0
400,kube-controller,27.0,,76.0,,0.0,,0.0,,0.0,,0.0,,5.94,,0.5,
400,memcached-profile,13.0,,4.0,,14.77,,232.5,,0.0,,0.0,,5.94,,0.5,
400,memcached-rate,29.0,,13.0,,18.03,,40120.4,,0.0,,0.0,,5.94,,0.5,
400,memcached-reserve,1026.0,,359.0,,20994.07,,27906.56,,0.0,,0.0,,5.94,,0.5,
400,metrics-server,4.0,,26.0,,0.0,,0.0,,0.0,,0.0,,5.94,,0.5,
400,mongodb-geo,5.0,,159.0,,0.04,,0.09,,0.0,,2.05,,5.94,,0.5,
400,mongodb-profile,6.0,,160.0,,0.07,,0.12,,0.0,,1.55,,5.94,,0.5,
400,mongodb-rate,5.0,,165.0,,0.24,,0.29,,0.0,,1.88,,5.94,,0.5,
400,mongodb-recommendation,5.0,,157.0,,0.04,,0.09,,0.0,,1.88,,5.94,,0.5,
400,mongodb-reservation,106.0,,178.0,,1.86,,17.68,,0.0,,5.81,,5.94,,0.5,
400,mongodb-user,6.0,,162.0,,0.04,,0.09,,0.0,,1.18,,5.94,,0.5,
400,profile,119.0,,9.0,,276.8,,199.4,,0.0,,0.0,,5.94,,0.5,
400,rate,2930.0,,26.0,,41768.24,,18186.01,,0.0,,0.0,,5.94,,0.5,
400,recommendation,38.0,,8.0,,19.36,,16.11,,0.0,,0.0,,5.94,,0.5,
400,reservation,9525.0,,38.0,,33909.1,,25033.05,,0.0,,0.0,,5.94,,0.5,
400,search,754.0,,12.0,,18029.71,,895.05,,0.0,,0.0,,5.94,,0.5,
400,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,5.94,,0.5,
400,user,2.0,,7.0,,0.94,,0.53,,0.0,,0.0,,5.94,,0.5,
500,consul,18.0,,31.0,,0.04,,0.03,,0.0,,0.0,,6.71,,0.48,
500,coredns,3.0,,24.0,,0.0,,0.0,,0.0,,0.0,,6.71,,0.48,
500,etcd,32.0,,273.0,,0.0,,0.0,,0.0,,21.28,,6.71,,0.48,
500,frontend,257.0,,32.0,,1047.36,,1039.06,,0.0,,0.0,,6.71,,0.48,
500,geo,60.0,,9.0,,24.3,,20.72,,0.0,,0.0,,6.71,,0.48,
500,jaeger,4.0,,39.0,,3.96,,0.0,,0.0,,0.0,,6.71,,0.48,
500,kube,31.67,43.94,247.33,376.47,19.54,33.84,41.62,72.09,0.0,0.0,0.0,0.0,6.71,0.0,0.48,0.0
500,kube-controller,23.0,,76.0,,0.0,,0.0,,0.0,,0.0,,6.71,,0.48,
500,memcached-profile,10.0,,4.0,,12.59,,157.3,,0.0,,0.0,,6.71,,0.48,
500,memcached-rate,27.0,,13.0,,18.07,,40871.54,,0.0,,0.0,,6.71,,0.48,
500,memcached-reserve,1053.0,,441.0,,25082.56,,40629.95,,0.0,,0.0,,6.71,,0.48,
500,metrics-server,4.0,,26.0,,0.0,,0.0,,0.0,,0.0,,6.71,,0.48,
500,mongodb-geo,5.0,,159.0,,0.03,,0.08,,0.0,,2.61,,6.71,,0.48,
500,mongodb-profile,5.0,,160.0,,0.06,,0.1,,0.0,,2.34,,6.71,,0.48,
500,mongodb-rate,5.0,,165.0,,0.19,,0.24,,0.0,,2.55,,6.71,,0.48,
500,mongodb-recommendation,5.0,,157.0,,0.03,,0.08,,0.0,,2.21,,6.71,,0.48,
500,mongodb-reservation,38.0,,178.0,,1.11,,5.64,,0.0,,6.25,,6.71,,0.48,
500,mongodb-user,5.0,,162.0,,0.03,,0.08,,0.0,,2.41,,6.71,,0.48,
500,profile,99.0,,9.0,,198.57,,145.49,,0.0,,0.0,,6.71,,0.48,
500,rate,2633.0,,29.0,,41269.65,,17984.31,,0.0,,0.0,,6.71,,0.48,
500,recommendation,33.0,,8.0,,19.27,,15.71,,0.0,,0.0,,6.71,,0.48,
500,reservation,10377.0,,49.0,,42098.79,,25654.04,,0.0,,0.0,,6.71,,0.48,
500,search,676.0,,15.0,,17916.28,,881.82,,0.0,,0.0,,6.71,,0.48,
500,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,6.71,,0.48,
500,user,2.0,,7.0,,0.89,,0.51,,0.0,,0.0,,6.71,,0.48,
600,consul,18.0,,31.0,,0.05,,0.08,,0.0,,0.0,,6.73,,0.47,
600,coredns,3.0,,24.0,,0.0,,0.0,,0.0,,0.0,,6.73,,0.47,
600,etcd,30.0,,274.0,,0.0,,0.0,,0.0,,17.25,,6.73,,0.47,
600,frontend,249.0,,31.0,,1041.51,,1035.4,,0.0,,0.0,,6.73,,0.47,
600,geo,61.0,,8.0,,24.39,,20.91,,0.0,,0.0,,6.73,,0.47,
600,jaeger,5.0,,48.0,,4.71,,0.0,,0.0,,0.0,,6.73,,0.47,
600,kube,31.33,43.36,243.67,370.97,21.96,38.04,38.46,66.61,0.0,0.0,0.0,0.0,6.73,0.0,0.47,0.0
600,kube-controller,21.0,,76.0,,0.0,,0.0,,0.0,,0.0,,6.73,,0.47,
600,memcached-profile,9.0,,4.0,,11.13,,130.08,,0.0,,0.0,,6.73,,0.47,
600,memcached-rate,27.0,,13.0,,18.25,,41618.92,,0.0,,0.0,,6.73,,0.47,
600,memcached-reserve,1082.0,,447.0,,25009.34,,43810.71,,0.0,,0.0,,6.73,,0.47,
600,metrics-server,4.0,,26.0,,0.0,,0.0,,0.0,,0.0,,6.73,,0.47,
600,mongodb-geo,5.0,,159.0,,0.04,,0.08,,0.0,,1.37,,6.73,,0.47,
600,mongodb-profile,5.0,,160.0,,0.06,,0.11,,0.0,,1.72,,6.73,,0.47,
600,mongodb-rate,5.0,,165.0,,0.2,,0.24,,0.0,,1.6,,6.73,,0.47,
600,mongodb-recommendation,5.0,,157.0,,0.04,,0.08,,0.0,,1.95,,6.73,,0.47,
600,mongodb-reservation,40.0,,178.0,,1.38,,5.99,,0.0,,8.73,,6.73,,0.47,
600,mongodb-user,5.0,,163.0,,0.04,,0.08,,0.0,,1.51,,6.73,,0.47,
600,profile,93.0,,9.0,,175.73,,129.76,,0.0,,0.0,,6.73,,0.47,
600,rate,2591.0,,25.0,,41667.92,,18160.49,,0.0,,0.0,,6.73,,0.47,
600,recommendation,32.0,,8.0,,19.34,,15.78,,0.0,,0.0,,6.73,,0.47,
600,reservation,10589.0,,45.0,,45000.07,,25225.12,,0.0,,0.0,,6.73,,0.47,
600,search,664.0,,15.0,,17674.91,,872.23,,0.0,,0.0,,6.73,,0.47,
600,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,6.73,,0.47,
600,user,2.0,,7.0,,0.93,,0.53,,0.0,,0.0,,6.73,,0.47,
