,,CPU_Total(m),CPU_Total(m),Memory_WorkingSet(Mi),Memory_WorkingSet(Mi),Net_RX(KB/s),Net_RX(KB/s),Net_TX(KB/s),Net_TX(KB/s),Disk_Read(KB/s),Disk_Read(KB/s),Disk_Write(KB/s),Disk_Write(KB/s),System_Mem_BW,System_Mem_BW,System_LLC_Metric,System_LLC_Metric
200,mongodb-recommendation,6.0,,159.0,,0.05,,0.09,,0.0,,2.5,,1.78,,0.5,
200,mongodb-reservation,86.0,,180.0,,0.98,,12.14,,0.0,,5.13,,1.78,,0.5,
200,mongodb-user,6.0,,163.0,,0.05,,0.09,,0.0,,3.3,,1.78,,0.5,
200,profile,130.0,,10.0,,268.05,,187.91,,0.0,,0.0,,1.78,,0.5,
200,rate,1675.0,,31.0,,15692.04,,6846.95,,0.0,,0.0,,1.78,,0.5,
200,recommendation,33.0,,8.0,,11.85,,10.38,,0.0,,0.0,,1.78,,0.5,
200,reservation,3942.0,,43.0,,6743.56,,9483.3,,0.0,,0.0,,1.78,,0.5,
200,search,617.0,,17.0,,6670.47,,358.24,,0.0,,0.0,,1.78,,0.5,
200,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,1.78,,0.5,
200,user,1.0,,7.0,,0.49,,0.27,,0.0,,0.0,,1.78,,0.5,
400,consul,20.0,,32.0,,0.05,,0.03,,0.0,,0.0,,4.29,,0.49,
400,coredns,3.0,,25.0,,0.0,,0.0,,0.0,,0.0,,4.29,,0.49,
400,etcd,35.0,,222.0,,0.0,,0.0,,0.0,,20.97,,4.29,,0.49,
400,frontend,394.0,,22.0,,937.93,,887.83,,0.0,,0.0,,4.29,,0.49,
400,geo,89.0,,8.0,,29.85,,26.34,,0.0,,0.0,,4.29,,0.49,
400,jaeger,5.0,,117.0,,4.22,,0.0,,0.0,,0.0,,4.29,,0.49,
400,kube,40.0,57.47,198.33,293.34,17.66,30.59,61.57,106.64,0.0,0.0,0.0,0.0,4.29,0.0,0.49,0.0
400,kube-controller,24.0,,73.0,,0.0,,0.0,,0.0,,0.0,,4.29,,0.49,
400,memcached-profile,16.0,,4.0,,15.15,,289.1,,0.0,,0.0,,4.29,,0.49,
400,memcached-rate,27.0,,11.0,,18.58,,31953.02,,0.0,,0.0,,4.29,,0.49,
400,memcached-reserve,872.0,,357.0,,19634.63,,22557.46,,0.0,,0.0,,4.29,,0.49,
400,metrics-server,6.0,,28.0,,0.0,,0.0,,0.0,,0.0,,4.29,,0.49,
400,mongodb-geo,6.0,,160.0,,0.05,,0.09,,0.0,,2.79,,4.29,,0.49,
400,mongodb-profile,6.0,,161.0,,0.09,,0.13,,0.0,,2.34,,4.29,,0.49,
400,mongodb-rate,6.0,,166.0,,0.16,,0.2,,0.0,,3.29,,4.29,,0.49,
400,mongodb-recommendation,6.0,,159.0,,0.05,,0.09,,0.0,,2.32,,4.29,,0.49,
400,mongodb-reservation,131.0,,181.0,,1.85,,18.96,,0.0,,4.18,,4.29,,0.49,
400,mongodb-user,6.0,,163.0,,0.04,,0.09,,0.0,,1.73,,4.29,,0.49,
400,profile,153.0,,10.0,,343.43,,245.37,,0.0,,0.0,,4.29,,0.49,
400,rate,2746.0,,42.0,,30982.91,,13493.23,,0.0,,0.0,,4.29,,0.49,
400,recommendation,47.0,,8.0,,21.52,,18.29,,0.0,,0.0,,4.29,,0.49,
400,reservation,8433.0,,49.0,,22711.75,,19202.7,,0.0,,0.0,,4.29,,0.49,
400,search,833.0,,17.0,,13760.94,,720.4,,0.0,,0.0,,4.29,,0.49,
400,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,4.29,,0.49,
400,user,2.0,,7.0,,1.03,,0.6,,0.0,,0.0,,4.29,,0.49,
600,consul,18.0,,30.0,,0.05,,0.07,,0.0,,0.0,,5.65,,0.48,
600,coredns,3.0,,26.0,,0.0,,0.0,,0.0,,0.0,,5.65,,0.48,
600,etcd,34.0,,223.0,,0.0,,0.0,,0.0,,13.41,,5.65,,0.48,
600,frontend,309.0,,34.0,,1049.43,,1022.96,,0.0,,0.0,,5.65,,0.48,
600,geo,77.0,,9.0,,28.75,,24.35,,0.0,,0.0,,5.65,,0.48,
600,jaeger,4.0,,129.0,,4.7,,0.0,,0.0,,0.0,,5.65,,0.48,
600,kube,40.0,58.28,199.33,295.07,23.94,41.46,62.26,107.84,0.0,0.0,0.0,0.0,5.65,0.0,0.48,0.0
600,kube-controller,22.0,,73.0,,0.0,,0.0,,0.0,,0.0,,5.65,,0.48,
600,memcached-profile,14.0,,4.0,,16.11,,232.75,,0.0,,0.0,,5.65,,0.48,
600,memcached-rate,28.0,,11.0,,19.29,,37356.24,,0.0,,0.0,,5.65,,0.48,
600,memcached-reserve,979.0,,357.0,,23189.7,,33480.66,,0.0,,0.0,,5.65,,0.48,
600,metrics-server,6.0,,28.0,,0.0,,0.0,,0.0,,0.0,,5.65,,0.48,
600,mongodb-geo,5.0,,160.0,,0.04,,0.08,,0.0,,3.15,,5.65,,0.48,
600,mongodb-profile,5.0,,161.0,,0.08,,0.12,,0.0,,1.92,,5.65,,0.48,
600,mongodb-rate,5.0,,166.0,,0.14,,0.18,,0.0,,1.56,,5.65,,0.48,
600,mongodb-recommendation,5.0,,159.0,,0.04,,0.08,,0.0,,2.91,,5.65,,0.48,
600,mongodb-reservation,83.0,,181.0,,1.47,,11.48,,0.0,,6.2,,5.65,,0.48,
600,mongodb-user,5.0,,163.0,,0.04,,0.08,,0.0,,2.46,,5.65,,0.48,
600,profile,130.0,,10.0,,288.27,,208.6,,0.0,,0.0,,5.65,,0.48,
600,rate,2793.0,,43.0,,37774.93,,16523.64,,0.0,,0.0,,5.65,,0.48,
600,recommendation,42.0,,8.0,,22.29,,18.25,,0.0,,0.0,,5.65,,0.48,
600,reservation,9421.0,,48.0,,34265.37,,23202.19,,0.0,,0.0,,5.65,,0.48,
600,search,752.0,,17.0,,16451.17,,840.14,,0.0,,0.0,,5.65,,0.48,
600,storage,1.0,,13.0,,0.0,,0.0,,0.0,,0.0,,5.65,,0.48,
600,user,2.0,,8.0,,0.8,,0.44,,0.0,,0.0,,5.65,,0.48,
700,consul,18.0,,31.0,,0.04,,0.03,,0.0,,0.0,,5.91,,0.49,
700,coredns,3.0,,23.0,,0.0,,0.0,,0.0,,0.0,,5.91,,0.49,
700,etcd,32.0,,225.0,,0.0,,0.0,,0.0,,21.67,,5.91,,0.49,
700,frontend,310.0,,31.0,,1037.86,,1023.33,,0.0,,0.0,,5.91,,0.49,
700,geo,79.0,,9.0,,28.66,,24.32,,0.0,,0.0,,5.91,,0.49,
700,jaeger,8.0,,135.0,,4.84,,0.0,,0.0,,0.0,,5.91,,0.49,
700,kube,34.67,50.82,201.67,299.11,26.85,46.51,58.46,101.26,0.0,0.0,0.0,0.0,5.91,0.0,0.49,0.0
700,kube-controller,24.0,,73.0,,0.0,,0.0,,0.0,,0.0,,5.91,,0.49,
700,memcached-profile,13.0,,4.0,,15.03,,185.54,,0.0,,0.0,,5.91,,0.49,
700,memcached-rate,28.0,,11.0,,19.3,,38202.21,,0.0,,0.0,,5.91,,0.49,
700,memcached-reserve,990.0,,357.0,,23662.37,,37747.03,,0.0,,0.0,,5.91,,0.49,
700,metrics-server,6.0,,29.0,,0.0,,0.0,,0.0,,0.0,,5.91,,0.49,
700,mongodb-geo,5.0,,160.0,,0.03,,0.08,,0.0,,3.93,,5.91,,0.49,
700,mongodb-profile,5.0,,161.0,,0.07,,0.12,,0.0,,3.03,,5.91,,0.49,
700,mongodb-rate,5.0,,166.0,,0.14,,0.18,,0.0,,4.07,,5.91,,0.49,
700,mongodb-recommendation,5.0,,159.0,,0.03,,0.08,,0.0,,2.74,,5.91,,0.49,
700,mongodb-reservation,46.0,,181.0,,1.2,,5.35,,0.0,,7.85,,5.91,,0.49,
700,mongodb-user,5.0,,163.0,,0.03,,0.08,,0.0,,3.01,,5.91,,0.49,
700,profile,122.0,,10.0,,237.2,,173.72,,0.0,,0.0,,5.91,,0.49,
700,rate,2806.0,,31.0,,38255.05,,16658.34,,0.0,,0.0,,5.91,,0.49,
700,recommendation,42.0,,8.0,,23.17,,18.96,,0.0,,0.0,,5.91,,0.49,
700,reservation,9636.0,,43.0,,38505.56,,23669.9,,0.0,,0.0,,5.91,,0.49,
700,search,756.0,,17.0,,16685.43,,851.84,,0.0,,0.0,,5.91,,0.49,
700,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,5.91,,0.49,
700,user,2.0,,8.0,,1.01,,0.59,,0.0,,0.0,,5.91,,0.49,
800,consul,19.0,,29.0,,0.05,,0.08,,0.0,,0.0,,5.83,,0.49,
800,coredns,3.0,,22.0,,0.0,,0.0,,0.0,,0.0,,5.83,,0.49,
800,etcd,33.0,,221.0,,0.0,,0.0,,0.0,,21.55,,5.83,,0.49,
800,frontend,295.0,,31.0,,995.86,,983.73,,0.0,,0.0,,5.83,,0.49,
800,geo,76.0,,9.0,,28.13,,23.96,,0.0,,0.0,,5.83,,0.49,
800,jaeger,7.0,,138.0,,4.96,,0.0,,0.0,,0.0,,5.83,,0.49,
800,kube,41.33,61.49,193.33,284.68,30.08,52.1,55.35,95.86,0.0,0.0,0.0,0.0,5.83,0.0,0.49,0.0
800,kube-controller,23.0,,73.0,,0.0,,0.0,,0.0,,0.0,,5.83,,0.49,
800,memcached-profile,12.0,,4.0,,13.32,,151.29,,0.0,,0.0,,5.83,,0.49,
800,memcached-rate,27.0,,11.0,,19.08,,37815.85,,0.0,,0.0,,5.83,,0.49,
800,memcached-reserve,986.0,,358.0,,23051.53,,39699.16,,0.0,,0.0,,5.83,,0.49,
800,metrics-server,6.0,,29.0,,0.0,,0.0,,0.0,,0.0,,5.83,,0.49,
800,mongodb-geo,5.0,,160.0,,0.04,,0.08,,0.0,,1.59,,5.83,,0.49,
800,mongodb-profile,5.0,,161.0,,0.08,,0.12,,0.0,,1.4,,5.83,,0.49,
800,mongodb-rate,5.0,,166.0,,0.14,,0.18,,0.0,,1.77,,5.83,,0.49,
800,mongodb-recommendation,5.0,,159.0,,0.04,,0.08,,0.0,,1.63,,5.83,,0.49,
800,mongodb-reservation,38.0,,181.0,,1.17,,5.41,,0.0,,6.94,,5.83,,0.49,
800,mongodb-user,5.0,,163.0,,0.04,,0.08,,0.0,,1.81,,5.83,,0.49,
800,profile,116.0,,10.0,,199.27,,147.03,,0.0,,0.0,,5.83,,0.49,
800,rate,2711.0,,30.0,,37833.11,,16555.98,,0.0,,0.0,,5.83,,0.49,
800,recommendation,40.0,,8.0,,22.0,,18.03,,0.0,,0.0,,5.83,,0.49,
800,reservation,9685.0,,52.0,,39670.12,,22608.12,,0.0,,0.0,,5.83,,0.49,
800,search,735.0,,18.0,,16340.12,,833.37,,0.0,,0.0,,5.83,,0.49,
800,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,5.83,,0.49,
800,user,2.0,,8.0,,0.95,,0.55,,0.0,,0.0,,5.83,,0.49,
1000,consul,18.0,,33.0,,0.05,,0.03,,0.0,,0.0,,5.89,,0.5,
1000,coredns,3.0,,23.0,,0.0,,0.0,,0.0,,0.0,,5.89,,0.5,
1000,etcd,33.0,,221.0,,0.0,,0.0,,0.0,,19.36,,5.89,,0.5,
1000,frontend,280.0,,27.0,,969.09,,955.1,,0.0,,0.0,,5.89,,0.5,
1000,geo,73.0,,8.0,,27.18,,23.07,,0.0,,0.0,,5.89,,0.5,
1000,jaeger,6.0,,139.0,,4.73,,0.0,,0.0,,0.0,,5.89,,0.5,
1000,kube,32.67,47.37,198.67,293.91,36.62,63.43,53.68,92.97,0.0,0.0,0.0,0.0,5.89,0.0,0.5,0.0
1000,kube-controller,23.0,,73.0,,0.0,,0.0,,0.0,,0.0,,5.89,,0.5,
1000,memcached-profile,10.0,,4.0,,10.48,,116.37,,0.0,,0.0,,5.89,,0.5,
1000,memcached-rate,26.0,,11.0,,18.68,,37252.48,,0.0,,0.0,,5.89,,0.5,
1000,memcached-reserve,994.0,,358.0,,22577.92,,41769.38,,0.0,,0.0,,5.89,,0.5,
1000,metrics-server,6.0,,29.0,,0.0,,0.0,,0.0,,0.0,,5.89,,0.5,
1000,mongodb-geo,5.0,,160.0,,0.05,,0.09,,0.0,,3.48,,5.89,,0.5,
1000,mongodb-profile,5.0,,161.0,,0.09,,0.12,,0.0,,2.53,,5.89,,0.5,
1000,mongodb-rate,5.0,,166.0,,0.15,,0.19,,0.0,,3.58,,5.89,,0.5,
1000,mongodb-recommendation,5.0,,159.0,,0.05,,0.08,,0.0,,1.5,,5.89,,0.5,
1000,mongodb-reservation,29.0,,181.0,,1.3,,3.43,,0.0,,9.05,,5.89,,0.5,
1000,mongodb-user,5.0,,163.0,,0.05,,0.08,,0.0,,3.29,,5.89,,0.5,
1000,profile,101.0,,10.0,,157.89,,117.03,,0.0,,0.0,,5.89,,0.5,
1000,rate,2609.0,,29.0,,37205.17,,16268.98,,0.0,,0.0,,5.89,,0.5,
1000,recommendation,38.0,,8.0,,21.01,,17.16,,0.0,,0.0,,5.89,,0.5,
1000,reservation,10066.0,,39.0,,43094.0,,22867.95,,0.0,,0.0,,5.89,,0.5,
1000,search,681.0,,18.0,,16072.89,,809.95,,0.0,,0.0,,5.89,,0.5,
1000,storage,2.0,,13.0,,0.0,,0.0,,0.0,,0.0,,5.89,,0.5,
1000,user,2.0,,8.0,,0.92,,0.52,,0.0,,0.0,,5.89,,0.5,
