,,CPU_Total(m),CPU_Total(m),Memory_WorkingSet(Mi),Memory_WorkingSet(Mi),Net_RX(KB/s),Net_RX(KB/s),Net_TX(KB/s),Net_TX(KB/s)
400,profile,252.67,1.53,11.33,0.58,265.72,3.47,202.72,2.62
400,rate,4237.33,35.35,33.0,2.65,45460.39,1225.03,19800.34,544.64
400,recommendation,101.67,1.15,9.0,0.0,43.8,0.86,37.82,0.71
400,reservation,16326.67,106.17,96.0,5.0,53531.86,354.35,26947.15,123.2
400,search,1436.67,10.07,18.0,1.73,19596.85,799.75,1078.25,42.06
400,storage-provisioner,2.33,0.58,13.0,0.0,0.0,0.0,0.0,0.0
400,user,4.0,0.0,8.33,0.58,1.91,0.18,1.15,0.1
600,consul,10.67,0.58,33.33,0.58,0.06,0.02,0.07,0.05
600,coredns,2.33,0.58,19.0,0.0,0.0,0.0,0.0,0.0
600,etcd-minikube,30.33,1.15,49.67,0.58,0.0,0.0,0.0,0.0
600,frontend,681.67,6.11,31.33,0.58,1727.03,4.85,1773.58,4.44
600,geo,188.33,0.58,9.33,0.58,68.35,0.7,58.37,0.7
600,jaeger,14.0,8.66,240.67,17.5,11.05,0.53,0.0,0.0
600,kube,33.67,41.89,107.56,127.03,50.87,76.33,112.9,169.39
600,kube-controller,19.33,1.53,60.0,0.0,0.0,0.0,0.0,0.0
600,memcached-profile,20.0,1.0,5.0,0.0,21.86,0.18,246.55,2.32
600,memcached-rate,53.33,0.58,9.33,0.58,40.54,0.06,63729.89,923.86
600,memcached-reserve,1713.0,13.08,227.0,5.0,38236.91,1561.62,74772.86,3054.84
600,metrics-server,5.33,0.58,28.0,0.0,0.0,0.0,0.0,0.0
600,mongodb-geo,4.33,0.58,152.0,0.0,0.05,0.01,0.08,0.01
600,mongodb-profile,4.67,0.58,153.0,0.0,0.07,0.01,0.09,0.0
600,mongodb-rate,4.33,0.58,154.0,0.0,0.08,0.01,0.11,0.01
600,mongodb-recommendation,4.0,0.0,152.0,0.0,0.05,0.01,0.07,0.0
600,mongodb-reservation,9.67,2.08,163.67,0.58,2.82,0.17,0.93,0.06
600,mongodb-user,4.67,0.58,154.0,0.0,0.05,0.01,0.07,0.0
600,profile,246.67,3.51,11.33,0.58,355.68,7.69,264.31,5.76
600,rate,5023.0,68.61,47.67,21.22,63867.22,412.06,27798.66,137.59
600,recommendation,103.0,1.0,9.0,0.0,54.32,1.29,44.73,1.09
600,reservation,18126.33,79.59,231.33,2.89,76704.88,609.7,38605.5,264.25
600,search,1439.67,16.5,27.67,2.31,28213.78,185.64,1487.76,13.36
600,storage-provisioner,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
600,user,4.0,0.0,8.67,0.58,2.19,0.09,1.29,0.07
700,consul,10.67,0.58,33.67,1.53,0.04,0.01,0.07,0.07
700,coredns,2.33,0.58,19.0,0.0,0.0,0.0,0.0,0.0
700,etcd-minikube,30.0,1.0,49.67,0.58,0.0,0.0,0.0,0.0
700,frontend,652.0,6.56,34.0,1.0,1808.26,25.74,1847.54,24.86
700,geo,181.0,2.65,9.0,0.0,67.33,1.29,57.11,1.21
700,jaeger,14.33,9.24,247.33,17.16,10.69,1.22,0.0,0.0
700,kube,33.89,41.93,107.56,127.0,58.33,87.53,119.83,179.86
700,kube-controller,19.67,1.15,60.0,0.0,0.0,0.0,0.0,0.0
700,memcached-profile,19.67,0.58,5.0,0.0,22.94,0.38,257.14,5.4
700,memcached-rate,52.67,0.58,9.0,0.0,40.19,0.09,64848.59,145.64
700,memcached-reserve,1754.67,17.01,229.0,7.0,39692.8,699.16,77627.76,1329.14
700,metrics-server,5.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
700,mongodb-geo,4.0,0.0,152.0,0.0,0.03,0.01,0.07,0.0
700,mongodb-profile,4.33,0.58,153.0,0.0,0.06,0.01,0.1,0.0
700,mongodb-rate,4.0,0.0,154.0,0.0,0.06,0.01,0.11,0.01
700,mongodb-recommendation,4.0,0.0,152.0,0.0,0.03,0.0,0.07,0.0
700,mongodb-reservation,8.0,0.0,164.0,1.0,3.16,0.11,1.04,0.03
700,mongodb-user,4.33,0.58,154.0,0.0,0.04,0.01,0.08,0.01
700,profile,239.0,4.36,11.0,0.0,363.0,11.86,269.33,8.63
700,rate,5028.33,68.97,38.0,13.89,65415.04,1394.9,28513.26,667.53
700,recommendation,99.0,3.0,9.0,0.0,53.8,1.5,43.88,1.3
700,reservation,18375.67,169.14,235.67,47.98,77676.42,967.25,39055.96,449.56
700,search,1403.67,16.07,21.33,3.06,28679.26,466.27,1503.46,23.01
700,storage-provisioner,1.67,0.58,12.0,0.0,0.0,0.0,0.0,0.0
700,user,4.67,0.58,9.0,0.0,2.48,0.15,1.49,0.1
800,consul,10.67,0.58,34.0,1.0,0.05,0.0,0.04,0.02
800,coredns,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
800,etcd-minikube,29.67,0.58,50.0,0.0,0.0,0.0,0.0,0.0
800,frontend,645.0,5.57,34.0,1.73,1778.32,30.95,1808.05,30.68
800,geo,179.67,1.53,10.0,0.0,66.27,0.18,56.12,0.17
800,jaeger,8.33,0.58,252.0,16.52,10.59,0.39,0.0,0.0
800,kube,34.33,42.81,108.44,128.38,61.0,91.52,116.22,174.37
800,kube-controller,18.67,0.58,60.0,0.0,0.0,0.0,0.0,0.0
800,memcached-profile,20.0,0.0,5.0,0.0,22.37,0.65,249.44,8.08
800,memcached-rate,52.67,1.15,9.0,0.0,40.69,0.28,64995.31,825.19
800,memcached-reserve,1728.33,6.81,228.33,5.03,38638.25,131.51,75641.8,224.45
800,metrics-server,5.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
800,mongodb-geo,4.67,0.58,152.0,0.0,0.04,0.01,0.07,0.0
800,mongodb-profile,4.33,0.58,153.0,0.0,0.07,0.01,0.1,0.01
800,mongodb-rate,4.0,0.0,154.0,0.0,0.07,0.01,0.11,0.01
800,mongodb-recommendation,4.33,0.58,152.0,0.0,0.04,0.0,0.07,0.0
800,mongodb-reservation,9.0,1.0,164.0,1.0,2.78,0.29,0.91,0.09
800,mongodb-user,4.33,0.58,154.0,0.0,0.04,0.01,0.07,0.0
800,profile,236.33,3.06,11.0,0.0,352.0,3.85,261.4,2.86
800,rate,4995.67,34.36,38.33,3.79,65115.2,1112.71,28351.93,516.51
800,recommendation,97.67,1.53,9.0,0.0,53.83,0.57,43.75,0.43
800,reservation,18175.0,33.96,260.67,23.12,78306.2,1546.47,39369.45,781.81
800,search,1395.33,17.21,39.0,13.08,28750.91,431.23,1502.59,24.0
800,storage-provisioner,2.0,0.0,12.33,0.58,0.0,0.0,0.0,0.0
800,user,4.33,0.58,9.0,0.0,2.34,0.18,1.4,0.09
1000,consul,10.33,0.58,34.0,1.0,0.05,0.02,0.06,0.05
1000,coredns,2.33,0.58,19.0,0.0,0.0,0.0,0.0,0.0
1000,etcd-minikube,31.33,0.58,50.0,0.0,0.0,0.0,0.0,0.0
1000,frontend,669.33,29.87,36.0,1.73,1910.47,58.28,1877.51,19.02
1000,geo,186.67,6.66,9.0,0.0,68.15,1.41,57.72,1.08
1000,jaeger,13.33,6.66,255.33,16.04,12.1,0.58,0.0,0.0
1000,kube,34.0,41.95,107.11,126.32,74.08,111.24,123.42,185.25
1000,kube-controller,20.33,2.52,60.33,0.58,0.0,0.0,0.0,0.0
1000,memcached-profile,20.33,0.58,5.0,0.0,23.23,0.76,259.96,7.83
1000,memcached-rate,54.0,1.73,9.33,0.58,41.27,1.12,65889.3,2271.23
1000,memcached-reserve,1702.33,69.1,231.33,2.31,37893.82,1244.58,74126.28,2636.42
1000,metrics-server,5.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
1000,mongodb-geo,4.0,0.0,152.0,0.0,0.03,0.01,0.07,0.0
1000,mongodb-profile,4.33,0.58,153.0,0.0,0.06,0.01,0.1,0.01
1000,mongodb-rate,4.0,0.0,154.0,0.0,0.06,0.01,0.11,0.01
1000,mongodb-recommendation,4.67,0.58,152.0,0.0,0.03,0.01,0.07,0.0
1000,mongodb-reservation,9.0,0.0,164.33,0.58,2.95,0.23,0.99,0.08
1000,mongodb-user,4.33,0.58,154.0,0.0,0.03,0.01,0.07,0.0
1000,profile,242.67,2.08,11.0,0.0,366.27,6.92,271.81,4.75
1000,rate,5144.67,210.79,71.33,16.65,65686.59,1370.0,28607.67,572.04
1000,recommendation,100.67,2.08,9.33,0.58,54.74,1.84,44.48,1.49
1000,reservation,18396.5,286.38,255.0,4.24,78252.12,879.82,39348.94,438.22
1000,search,1437.0,59.66,28.0,5.2,28834.76,1632.1,1506.02,80.2
1000,storage-provisioner,1.67,0.58,12.0,0.0,0.0,0.0,0.0,0.0
1000,user,4.0,0.0,9.0,0.0,2.37,0.14,1.41,0.1
